File,Title
20151105_1_xls-data,Betreuungsgeld für den Kitaausbau nutzen
20151105_2_xls-data,Änderung agrarmarktrechtlicher Bestimmungen
20151106_1_xls-data,Anwendung des Stimmzettelverfahrens unter Abweichung von der Geschäftsordnung
20151106_2_xls-data,Strafbarkeit der geschäftsmäßigen Förderung der Selbsttötung
20151112_2_xls-data,Bundeswehreinsatz in Darfur (UNAMID)
20151112_1_xls-data,Bundeswehreinsatz in Südsudan (UNMISS)
20151125_1_xls-data,Etat Bundeskanzlerin und Bundeskanzleramt
20151127_1_xls-data,Etat Verkehr und digitale Infrastruktur
20151127_2_xls-data,Haushaltsgesetz 2016
20151203_1_xls-data,Umsetzung des Aktionsprogramms Klimaschutz 2020
20151204_2_xls-data,Entschließungsantrag Die Linke: Bundeswehreinsatz gegen Terrororganisation IS
20151204_1_xls-data,Bundeswehreinsatz gegen Terrororganisation IS
20151217_2_xls-data,Bundeswehreinsatz im Mittelmeer (Operation ACTIVE ENDEAVOUR)
20151217_1_xls-data,Bundeswehreinsatz in Afghanistan (Resolute Support)
20160128_1_xls-data,Bundeswehreinsatz in Mali (EUTM Mali)
20160128_2_xls-data,Bundeswehreinsatz Kurdistan-Irak
20160217_1_xls-data,Regierungserklärung zum Europäischen Rat -Entschließungsantrag
20160218_1_xls-data,Rüstungsexportkontrollgesetz
20160225_1_xls-data,"Einführung beschleunigter Asylverfahren, hier: Artikel 2 Nummer 4"
20160225_2_xls-data,Einführung beschleunigter Asylverfahren – Gesetzentwurf
20160225_3_xls-data,Voreilige Neuzulassung von Glyphosat stoppen
20160316_1_xls-data,Regierungserklärung zum Europäischen Rat am 17./18. März 2016 – Entschließungsantrag
20160317_1_xls-data,Ausbildungs- und Beratungsmissionen EUTM Somalia
20160414_1_xls-data,Bekämpfung von Korruption im Gesundheitswesen
